Graph Name,$V(G)$,$E(G)$,Graph Density,UB,F/ACO-FL,T/ACO-FL,F/FL-GA,T/FL-GA,PLI,Gap relativo
bcspwr06,1454,1923,0.002,2544,1832,3.424,1897,5.42,1632,10.92
shl____0,663,1682,0.008,994,455,1.061,484,1.631,366*,19.56
zenios,2873,12159,0.003,6397,4745,18.747,4826,70.611,4676,1.45
cavity03,317,4237,0.085,475,36,0.181,40,0.21,36*,0.0
steam2,600,6580,0.037,900,156,0.674,188,2.311,124,20.51
ck400,400,1244,0.016,700,324,0.185,338,0.502,279*,13.89
fidap014,3251,31698,0.006,4876,872,17.818,773,33.75,640*,17.21
can__144,144,576,0.056,216,60,0.042,52,0.019,48*,7.69
nos2,957,1590,0.004,1515,1090,0.827,1207,6.724,1075,1.38
can___96,96,336,0.074,144,48,0.014,65,0.012,48*,0.0
ck104,104,444,0.083,156,52,0.017,48,0.016,48*,0.0
fidap013,2568,36530,0.011,3852,576,10.312,428,21.936,356*,16.82
curtis54,54,124,0.087,81,42,0.006,41,0.004,41*,0.0
dwt__361,361,1296,0.02,541,210,0.155,252,0.307,195*,7.14
bcsstk04,132,1758,0.203,198,32,0.042,36,0.058,30*,6.25
lund_a,147,1151,0.107,220,50,0.065,54,0.169,47*,6.0
str__400,363,3124,0.048,635,268,0.389,287,1.469,181*,32.46
fs_541_4,541,2466,0.017,811,4,0.356,4,1.669,4*,0.0
ck656,656,1628,0.008,1148,635,0.455,652,2.462,554*,12.76
fidap029,2870,10442,0.003,4573,1836,8.138,2389,36.106,1733*,5.61
nos3,960,7442,0.016,1440,302,1.213,353,6.96,246,18.54
jagmesh8,1141,3162,0.005,1711,926,2.235,976,7.326,795,14.15
cavity02,317,4237,0.085,475,36,0.181,36,0.198,36*,0.0
can___61,61,248,0.136,91,31,0.007,31,0.004,24*,22.58
lshp1009,1009,2928,0.006,1513,795,1.148,833,6.352,667,16.1
e05r0300,236,2847,0.103,354,40,0.163,36,0.127,36*,0.0
orsirr_1,1030,2914,0.005,1545,896,1.655,986,16.5,763,14.84
young3c,841,1671,0.005,1261,891,1.592,976,3.902,850,4.6
eris1176,1176,8688,0.013,2058,1189,2.095,1180,1.816,926*,21.53
cdde3,961,1860,0.004,1441,1052,1.225,1142,4.125,945,10.17
rgg010,10,45,1.0,15,4,0.001,4,0.001,4*,0.0
fidap012,3973,38089,0.005,5959,1202,22.108,1061,59.621,840*,20.83
sherman4,1104,1341,0.002,2493,2183,1.598,2256,6.414,2116,3.07
rdb200,200,460,0.023,300,195,0.063,204,0.303,160,17.95
can__229,229,774,0.03,343,169,0.076,169,0.075,142*,15.98
plat362,362,2712,0.042,543,146,0.23,156,1.218,103*,29.45
e05r0100,236,2847,0.103,354,36,0.167,36,0.126,36*,0.0
ibm32,32,90,0.181,48,28,0.003,30,0.003,25*,10.71
dwt__512,512,1495,0.011,854,472,0.37,490,0.487,436*,7.63
blckhole,2132,6370,0.003,3214,1680,5.473,1712,39.336,1401,16.61
nos7,729,1944,0.007,1093,639,0.663,742,4.145,571,10.64
mbeause,492,36209,0.3,738,7,1.512,7,12.419,7*,0.0
dwt___72,72,75,0.029,126,97,0.007,101,0.008,94*,3.09
jagmesh1,936,2664,0.006,1404,781,1.016,787,5.21,631,19.21
e05r0200,236,2847,0.103,354,40,0.148,36,0.158,36*,0.0
fs_183_6,183,701,0.042,320,174,0.059,104,0.112,60*,42.31
olm500,500,997,0.008,750,344,0.426,445,0.622,336*,2.33
gre_216a,216,660,0.028,324,178,0.072,207,0.186,148,16.85
cdde5,961,1860,0.004,1441,1056,1.168,1113,4.446,945,10.51
cavity01,317,4237,0.085,475,36,0.182,40,0.206,36*,0.0
fidap028,2603,37525,0.011,3904,467,17.863,352,21.516,278*,21.02
fs_541_1,541,2466,0.017,811,4,0.318,4,1.665,4*,0.0
ash292,292,958,0.022,438,193,0.142,197,0.216,165*,14.51
fs_680_3,680,1464,0.006,1190,915,0.929,878,0.884,564*,35.76
young2c,841,1624,0.005,1261,920,1.489,1001,4.779,817,11.2
utm300,300,2191,0.049,525,167,0.278,162,0.33,120*,25.93
cdde2,961,1860,0.004,1441,1037,1.125,1150,4.086,945,8.87
rbs480a,480,16408,0.143,720,46,1.168,87,7.494,32*,30.43
saylr3,1000,1375,0.003,2144,1691,1.43,1758,8.641,1590,5.97
impcol_d,425,1267,0.014,637,368,0.345,388,1.495,259,29.62
can___73,73,152,0.058,109,75,0.013,73,0.006,60*,17.81
cdde1,961,1860,0.004,1441,1051,1.217,1142,4.11,945,10.09
impcol_e,225,1187,0.047,337,110,0.127,118,0.413,81*,26.36
fs_183_4,183,701,0.042,320,174,0.07,104,0.115,60*,42.31
dwt__198,198,597,0.031,299,116,0.051,159,0.057,112*,3.45
str__200,363,3049,0.046,635,261,0.494,313,1.537,184*,29.5
cavity04,317,4237,0.085,475,36,0.181,36,0.197,36*,0.0
sstmodel,3345,9702,0.002,6622,3891,24.521,4081,146.947,3660,5.94
lund_b,147,1147,0.107,220,50,0.079,54,0.108,47*,6.0
qh768,768,1322,0.004,1344,845,0.917,986,7.347,782,7.46
nos1,237,390,0.014,375,274,0.061,302,0.464,265,3.28
pores_3,532,1850,0.013,931,444,0.336,466,1.428,391,11.94
impcol_a,207,557,0.026,312,199,0.077,212,0.172,158*,20.6
psmigr_1,3140,410781,0.083,4710,396,130.399,468,274.166,55*,86.11
lshp_406,406,1155,0.014,609,315,0.246,336,2.153,267,15.24
662_bus,662,906,0.004,1158,793,0.697,808,0.689,726*,8.45
gre__185,185,650,0.038,277,142,0.058,145,0.192,118,16.9
fidapm02,537,9352,0.065,805,100,0.611,133,3.188,72*,28.0
e05r0400,236,2847,0.103,354,40,0.158,36,0.12,36*,0.0
bcsstk02,66,2145,1.0,99,4,0.019,4,0.042,4*,0.0
jgl011,11,49,0.891,16,4,0.001,4,0.001,4*,0.0
hor__131,434,2138,0.023,651,240,0.299,273,1.889,194*,19.17
nnc666,666,2148,0.01,1165,629,0.457,660,2.125,384,38.95
lshp_265,265,744,0.021,397,205,0.098,223,0.261,176,14.15
bp___400,822,4015,0.012,1233,628,1.658,780,1.179,384*,38.85
dwt___66,66,127,0.059,115,61,0.007,60,0.005,52*,13.33
fidap031,3909,55695,0.007,5863,1817,47.834,1806,439.768,720,60.13
fidap004,1601,15343,0.012,2401,449,5.231,423,14.432,300*,29.08
rw496,496,1423,0.012,744,400,0.42,410,3.375,345,13.75
fidap003,1821,25419,0.015,2731,432,5.242,334,11.692,260*,22.16
gre_1107,1107,4557,0.007,1660,793,2.182,911,32.254,675,14.88
nos4,100,247,0.05,175,98,0.02,103,0.037,82*,16.33
dwt__209,209,767,0.035,313,133,0.072,154,0.082,112*,15.79
tols90,90,1449,0.362,135,4,0.049,4,0.037,4*,0.0
watt__1,1856,4816,0.003,3248,1774,5.183,2036,49.58,1644,7.33
dwt__346,346,1440,0.024,607,259,0.181,280,0.257,227*,12.36
saylr1,238,445,0.016,357,262,0.096,281,0.32,223,14.89
dwt__245,245,608,0.02,428,254,0.096,255,0.063,210*,17.32
jgl009,9,32,0.889,13,4,0.001,4,0.0,4*,0.0
rdb450,450,1065,0.011,675,435,0.263,470,1.274,358,17.7
gent113,113,549,0.087,183,106,0.032,114,0.052,82*,22.64
fidap024,2283,23225,0.009,3424,576,9.428,491,13.956,408*,16.9
can___62,62,78,0.041,108,84,0.007,83,0.003,73*,12.05
dwt__992,992,7876,0.016,1488,268,1.205,378,3.596,264*,1.49
mcfe,765,15358,0.053,1146,180,1.252,180,4.625,180*,0.0
young1c,841,1624,0.005,1261,914,1.444,998,8.192,817,10.61
olm100,100,197,0.04,150,72,0.023,84,0.02,68*,5.56
cdde6,961,1860,0.004,1441,1042,1.123,1140,2.306,945,9.31
dwt__419,419,1572,0.018,628,282,0.281,303,0.339,216*,23.4
e05r0000,236,2847,0.103,354,40,0.144,36,0.126,36*,0.0
bcspwr07,1612,2106,0.002,2821,2028,4.451,2113,6.616,1807,10.9
shl__400,663,1709,0.008,994,475,1.136,518,1.943,355*,25.26
bcspwr04,274,669,0.018,479,282,0.137,301,0.09,248*,12.06
bcsstk03,112,264,0.043,168,88,0.017,88,0.013,84*,4.55
