graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic3,ACO_fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./representative_set/cycle17.txt,17,17,2,2,25,30,23,25,2.75484,0.361157
./representative_set/cycle17.txt,17,17,2,2,26,27,23,25,2.08887,0.13076
./representative_set/cycle17.txt,17,17,2,2,26,27,23,25,2.9621,0.128438
./representative_set/cycle17.txt,17,17,2,2,26,27,23,25,2.95821,0.126586
./representative_set/cycle17.txt,17,17,2,2,26,27,23,25,2.9576,0.122912
./representative_set/cycle17.txt,17,17,2,2,25,27,23,25,2.95343,0.123972
./representative_set/cycle17.txt,17,17,2,2,26,24,23,25,2.95304,0.123112
./representative_set/cycle17.txt,17,17,2,2,26,24,23,25,2.30339,0.124743
./representative_set/cycle17.txt,17,17,2,2,24,24,23,25,2.96776,0.122587
./representative_set/cycle17.txt,17,17,2,2,26,24,23,25,2.93774,0.128134
