Graph Name,$V(G)$,$E(G)$,Graph Density,UB,F/ACO-FL,T/ACO-FL,F/FL-GA,T/FL-GA,PLI,Gap relativo
pde2961,2961,5812,0.001,4441,3218,14.107,3522,59.84,2721,15.44
tols340,340,1649,0.029,535,210,0.228,204,0.148,204*,0.0
dwa512,512,1004,0.008,768,555,0.318,594,0.825,484,12.79
qc324,324,13203,0.252,486,16,0.475,16,0.386,16*,0.0
dw256A,512,1004,0.008,768,546,0.314,606,0.985,484,11.36
pde225,225,420,0.017,337,251,0.062,260,0.102,208,17.13
rdb800l,800,1920,0.006,1200,757,0.721,876,2.222,620,18.1
rw136,136,373,0.041,204,110,0.032,105,0.025,94*,10.48
bfwb62,62,140,0.074,108,70,0.008,66,0.005,54*,18.18
cryg2500,2500,4950,0.002,3750,2719,9.167,2936,51.38,2253,17.14
bfwa782,782,3394,0.011,1173,586,0.691,604,2.814,437,25.43
mhd1280a,1280,26130,0.032,1941,728,3.173,544,20.234,202*,62.87
rdb968,968,2332,0.005,1452,927,0.919,1040,3.644,752,18.88
olm1000,1000,1997,0.004,1500,696,1.379,932,1.047,668*,4.02
tub100,100,148,0.03,150,103,0.014,125,0.024,103*,0.0
rdb1250,1250,3025,0.004,1875,1232,1.476,1300,8.026,953,22.65
odepa400,400,402,0.005,600,540,0.171,592,0.25,532*,1.48
lop163,163,598,0.045,244,121,0.036,125,0.064,90*,25.62
dwg961a,705,1350,0.005,1057,724,0.522,741,1.793,672,7.18
rdb3200l,3200,7840,0.002,4800,3136,9.982,3456,81.635,2302,26.59
ck400,400,1244,0.016,700,327,0.236,338,0.466,279*,14.68
ck104,104,444,0.083,156,52,0.019,48,0.021,48*,0.0
ck656,656,1628,0.008,1148,638,0.513,662,2.163,554*,13.17
cdde3,961,1860,0.004,1441,1045,1.473,1141,2.626,945,9.57
bwm200,200,298,0.015,300,255,0.046,262,0.074,203*,20.39
rdb200,200,460,0.023,300,193,0.047,205,0.072,160,17.1
tub1000,1000,1498,0.003,1500,1030,0.874,1266,4.532,1003*,2.62
olm2000,2000,3997,0.002,3000,1400,5.395,1848,4.058,1336*,4.57
mhda416,416,5177,0.06,634,193,0.278,210,0.725,124*,35.75
olm500,500,997,0.008,750,346,0.354,452,0.296,336*,2.89
bfwa62,62,200,0.106,93,51,0.008,50,0.004,44*,12.0
tols1090,1090,2249,0.004,1735,888,1.982,804,1.007,804*,0.0
dw1024,2048,4094,0.002,3072,2185,6.949,2445,32.885,1972,9.75
cdde2,961,1860,0.004,1441,1056,1.31,1140,3.083,945,10.51
rbsa480,480,16408,0.143,720,47,0.861,85,4.722,32*,31.91
dw2048,2048,4094,0.002,3072,2179,7.182,2408,30.863,1972,9.5
pde900,900,1740,0.004,1350,985,1.059,1077,2.337,902,8.43
cdde1,961,1860,0.004,1441,1043,1.315,1142,2.661,945,9.4
bfwa398,398,1658,0.021,597,296,0.229,305,0.347,222,25.0
bfwb782,782,2600,0.009,1367,666,0.69,733,2.73,572,14.11
bfwb398,398,1256,0.016,695,353,0.195,374,0.632,288,18.41
qh768,768,1322,0.004,1344,843,0.68,986,2.876,782,7.24
rw496,496,1423,0.012,744,403,0.303,404,1.161,340,15.63
qh882,882,1533,0.004,1543,963,0.969,1135,4.025,859,10.8
dw256B,512,1024,0.008,768,526,0.313,595,0.7,494,6.08
tols90,90,1449,0.362,135,4,0.039,4,0.015,4*,0.0
rdb450,450,1065,0.011,675,430,0.203,480,0.774,358,16.74
olm100,100,197,0.04,150,72,0.021,86,0.012,68*,5.56
mhdb416,416,948,0.011,632,364,0.246,379,0.178,334*,8.24
qc2534,2534,230413,0.072,3801,56,41.249,56,119.583,56*,0.0
