graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic2,ACO_fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./representative_set/lund_a.txt,147,1151,4,20,90,90,28,220,55.4647,6.11715
./representative_set/lund_a.txt,147,1151,4,20,68,81,28,220,44.5652,1.63682
./representative_set/lund_a.txt,147,1151,4,20,68,79,28,220,57.4245,1.56947
./representative_set/lund_a.txt,147,1151,4,20,72,75,28,220,53.2581,1.67349
./representative_set/lund_a.txt,147,1151,4,20,60,87,28,220,50.5142,1.77426
./representative_set/lund_a.txt,147,1151,4,20,68,78,28,220,58.4913,1.78808
./representative_set/lund_a.txt,147,1151,4,20,64,82,28,220,62.058,1.75468
./representative_set/lund_a.txt,147,1151,4,20,68,78,28,220,47.3105,1.67638
./representative_set/lund_a.txt,147,1151,4,20,68,81,28,220,57.5919,1.63433
./representative_set/lund_a.txt,147,1151,4,20,72,77,28,220,31.373,1.6882
