graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
random_graph18,150,9049,110,134,14,8,4,225,0.396223,1.33285,1,1
random_graph18,150,9049,110,134,15,12,4,225,0.644253,0.295416,1,1
random_graph18,150,9049,110,134,17,12,4,225,0.54376,0.294886,1,1
random_graph18,150,9049,110,134,14,10,4,225,0.333686,0.293765,1,1
random_graph18,150,9049,110,134,15,12,4,225,0.331877,0.311015,1,1
random_graph18,150,9049,110,134,16,12,4,225,0.203009,0.289486,1,1
random_graph18,150,9049,110,134,15,12,4,225,0.651827,0.305253,1,1
random_graph18,150,9049,110,134,14,12,4,225,0.313916,0.324376,1,1
random_graph18,150,9049,110,134,14,12,4,225,0.571747,0.345951,1,1
random_graph18,150,9049,110,134,15,12,4,225,0.357683,0.338185,1,1
