graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
cdde2,961,1860,2,4,1314,768,1441,0.00403226,0.333759
cdde2,961,1860,2,4,1294,768,1441,0.00403226,0.325963
cdde2,961,1860,2,4,1339,768,1441,0.00403226,0.32129
cdde2,961,1860,2,4,1299,768,1441,0.00403226,0.335517
cdde2,961,1860,2,4,1310,768,1441,0.00403226,0.330082
cdde2,961,1860,2,4,1319,768,1441,0.00403226,0.323653
cdde2,961,1860,2,4,1307,768,1441,0.00403226,0.330709
cdde2,961,1860,2,4,1325,768,1441,0.00403226,0.315538
cdde2,961,1860,2,4,1315,768,1441,0.00403226,0.325442
cdde2,961,1860,2,4,1308,768,1441,0.00403226,0.328408
