graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwb62,62,140,1,12,80,19,108,0.0740349,0.00113661
bfwb62,62,140,1,12,84,19,108,0.0740349,0.00112987
bfwb62,62,140,1,12,1803633614,19,108,0.0740349,0.00148392
bfwb62,62,140,1,12,1166196853,19,108,0.0740349,0.00145091
bfwb62,62,140,1,12,81,19,108,0.0740349,0.00118249
bfwb62,62,140,1,12,79,19,108,0.0740349,0.00117566
bfwb62,62,140,1,12,81,19,108,0.0740349,0.00111782
bfwb62,62,140,1,12,81,19,108,0.0740349,0.00108443
bfwb62,62,140,1,12,87,19,108,0.0740349,0.00114874
bfwb62,62,140,1,12,1803647055,19,108,0.0740349,0.00133599
