graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
cryg2500,2500,4950,2,5,3322,1666,3750,0.00158463,2.65932
cryg2500,2500,4950,2,5,3357,1666,3750,0.00158463,2.59243
cryg2500,2500,4950,2,5,3339,1666,3750,0.00158463,2.74207
cryg2500,2500,4950,2,5,3368,1666,3750,0.00158463,2.76933
cryg2500,2500,4950,2,5,3341,1666,3750,0.00158463,2.81693
cryg2500,2500,4950,2,5,3351,1666,3750,0.00158463,2.62716
cryg2500,2500,4950,2,5,1996775616,1666,3750,0.00158463,2.60693
cryg2500,2500,4950,2,5,3348,1666,3750,0.00158463,2.54952
cryg2500,2500,4950,2,5,3361,1666,3750,0.00158463,2.69812
cryg2500,2500,4950,2,5,3380,1666,3750,0.00158463,2.92645
