graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwb782,782,2600,1,12,847,240,1367,0.00851423,0.261982
bfwb782,782,2600,1,12,860,240,1367,0.00851423,0.245661
bfwb782,782,2600,1,12,850,240,1367,0.00851423,0.256023
bfwb782,782,2600,1,12,18446744073512699815,240,1367,0.00851423,0.247368
bfwb782,782,2600,1,12,856,240,1367,0.00851423,0.247261
bfwb782,782,2600,1,12,860,240,1367,0.00851423,0.253399
bfwb782,782,2600,1,12,843,240,1367,0.00851423,0.270635
bfwb782,782,2600,1,12,858,240,1367,0.00851423,0.237785
bfwb782,782,2600,1,12,852,240,1367,0.00851423,0.236291
bfwb782,782,2600,1,12,842,240,1367,0.00851423,0.257853
