graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwb398,398,1256,1,12,450,122,695,0.0158981,0.0560327
bfwb398,398,1256,1,12,462,122,695,0.0158981,0.0551632
bfwb398,398,1256,1,12,440,122,695,0.0158981,0.0538583
bfwb398,398,1256,1,12,456,122,695,0.0158981,0.0529309
bfwb398,398,1256,1,12,451,122,695,0.0158981,0.0538469
bfwb398,398,1256,1,12,450,122,695,0.0158981,0.0558334
bfwb398,398,1256,1,12,452,122,695,0.0158981,0.0559007
bfwb398,398,1256,1,12,452,122,695,0.0158981,0.0530704
bfwb398,398,1256,1,12,442,122,695,0.0158981,0.0545033
bfwb398,398,1256,1,12,449,122,695,0.0158981,0.0539156
