graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwa782,782,3394,2,23,716,130,1173,0.0111143,0.332765
bfwa782,782,3394,2,23,710,130,1173,0.0111143,0.341931
bfwa782,782,3394,2,23,700,130,1173,0.0111143,0.343284
bfwa782,782,3394,2,23,711,130,1173,0.0111143,0.359297
bfwa782,782,3394,2,23,1771066027,130,1173,0.0111143,0.349562
bfwa782,782,3394,2,23,720,130,1173,0.0111143,0.340261
bfwa782,782,3394,2,23,716,130,1173,0.0111143,0.340401
bfwa782,782,3394,2,23,722,130,1173,0.0111143,0.374229
bfwa782,782,3394,2,23,715,130,1173,0.0111143,0.360645
bfwa782,782,3394,2,23,727,130,1173,0.0111143,0.348539
