graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
ck104,104,444,5,9,86,41,156,0.0828977,0.0051058
ck104,104,444,5,9,84,41,156,0.0828977,0.00597726
ck104,104,444,5,9,84,41,156,0.0828977,0.00535298
ck104,104,444,5,9,89,41,156,0.0828977,0.00509466
ck104,104,444,5,9,85,41,156,0.0828977,0.00544929
ck104,104,444,5,9,81,41,156,0.0828977,0.00500327
ck104,104,444,5,9,84,41,156,0.0828977,0.00530286
ck104,104,444,5,9,86,41,156,0.0828977,0.00512613
ck104,104,444,5,9,89,41,156,0.0828977,0.00520624
ck104,104,444,5,9,84,41,156,0.0828977,0.00530264
