graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
cdde3,961,1860,2,4,1314,768,1441,0.00403226,0.327334
cdde3,961,1860,2,4,1314,768,1441,0.00403226,0.312934
cdde3,961,1860,2,4,1299,768,1441,0.00403226,0.326485
cdde3,961,1860,2,4,1311,768,1441,0.00403226,0.317108
cdde3,961,1860,2,4,1317,768,1441,0.00403226,0.321229
cdde3,961,1860,2,4,1294,768,1441,0.00403226,0.320392
cdde3,961,1860,2,4,1311,768,1441,0.00403226,0.319573
cdde3,961,1860,2,4,1153716463,768,1441,0.00403226,0.320009
cdde3,961,1860,2,4,1308,768,1441,0.00403226,0.322979
cdde3,961,1860,2,4,1319,768,1441,0.00403226,0.32526
