graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
ck400,400,1244,1,9,457,160,700,0.015589,0.0726495
ck400,400,1244,1,9,450,160,700,0.015589,0.0724382
ck400,400,1244,1,9,458,160,700,0.015589,0.0725798
ck400,400,1244,1,9,453,160,700,0.015589,0.0730852
ck400,400,1244,1,9,454,160,700,0.015589,0.0721568
ck400,400,1244,1,9,447,160,700,0.015589,0.0713754
ck400,400,1244,1,9,464,160,700,0.015589,0.0713701
ck400,400,1244,1,9,442,160,700,0.015589,0.0706596
ck400,400,1244,1,9,460,160,700,0.015589,0.0737462
ck400,400,1244,1,9,436,160,700,0.015589,0.0723492
