graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwa398,398,1658,2,22,382,69,597,0.0209865,0.0734323
bfwa398,398,1658,2,22,366,69,597,0.0209865,0.0705874
bfwa398,398,1658,2,22,372,69,597,0.0209865,0.0737986
bfwa398,398,1658,2,22,387,69,597,0.0209865,0.0668912
bfwa398,398,1658,2,22,371,69,597,0.0209865,0.0693075
bfwa398,398,1658,2,22,366,69,597,0.0209865,0.0696819
bfwa398,398,1658,2,22,378,69,597,0.0209865,0.0707913
bfwa398,398,1658,2,22,392,69,597,0.0209865,0.0715147
bfwa398,398,1658,2,22,371,69,597,0.0209865,0.0695984
bfwa398,398,1658,2,22,386,69,597,0.0209865,0.0714856
