graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
cdde1,961,1860,2,4,1327,768,1441,0.00403226,0.271432
cdde1,961,1860,2,4,1308,768,1441,0.00403226,0.265227
cdde1,961,1860,2,4,1295,768,1441,0.00403226,0.267616
cdde1,961,1860,2,4,1300,768,1441,0.00403226,0.285193
cdde1,961,1860,2,4,1300,768,1441,0.00403226,0.386986
cdde1,961,1860,2,4,1306,768,1441,0.00403226,0.425189
cdde1,961,1860,2,4,1323,768,1441,0.00403226,0.359051
cdde1,961,1860,2,4,1728331469,768,1441,0.00403226,0.372307
cdde1,961,1860,2,4,1299,768,1441,0.00403226,0.389237
cdde1,961,1860,2,4,1314,768,1441,0.00403226,0.360588
