graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwa62,62,200,2,20,71,11,93,0.105764,0.00128057
bfwa62,62,200,2,20,70,11,93,0.105764,0.00133946
bfwa62,62,200,2,20,67,11,93,0.105764,0.00138932
bfwa62,62,200,2,20,71,11,93,0.105764,0.00134894
bfwa62,62,200,2,20,645023640,11,93,0.105764,0.00145343
bfwa62,62,200,2,20,18446744073445405304,11,93,0.105764,0.0013713
bfwa62,62,200,2,20,67,11,93,0.105764,0.00145182
bfwa62,62,200,2,20,74,11,93,0.105764,0.00138837
bfwa62,62,200,2,20,70,11,93,0.105764,0.00138099
bfwa62,62,200,2,20,66,11,93,0.105764,0.00130961
