graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_heuristic_1,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
ck656,656,1628,1,9,839,262,1148,0.00757773,0.179747
ck656,656,1628,1,9,845,262,1148,0.00757773,0.183413
ck656,656,1628,1,9,849,262,1148,0.00757773,0.179636
ck656,656,1628,1,9,822,262,1148,0.00757773,0.174991
ck656,656,1628,1,9,828,262,1148,0.00757773,0.177695
ck656,656,1628,1,9,818,262,1148,0.00757773,0.179369
ck656,656,1628,1,9,843,262,1148,0.00757773,0.179592
ck656,656,1628,1,9,855,262,1148,0.00757773,0.177706
ck656,656,1628,1,9,840,262,1148,0.00757773,0.18162
ck656,656,1628,1,9,821,262,1148,0.00757773,0.179407
