graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
can161,161,608,5,16,156,76,37,241,1.36784,4.13059,1,1
can161,161,608,5,16,149,76,37,241,1.42018,0.32411,1,1
can161,161,608,5,16,150,76,37,241,1.35898,0.298558,1,1
can161,161,608,5,16,148,76,37,241,1.36557,0.298875,1,1
can161,161,608,5,16,152,76,37,241,1.34435,0.277241,1,1
can161,161,608,5,16,148,76,37,241,1.35795,0.31747,1,1
can161,161,608,5,16,151,76,37,241,1.35061,0.323821,1,1
can161,161,608,5,16,156,76,37,241,1.34115,0.274123,1,1
can161,161,608,5,16,155,76,37,241,1.36541,0.299952,1,1
can161,161,608,5,16,151,76,37,241,1.38623,0.293665,1,1
