graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
662_bus,662,906,1,9,1143,805,264,1158,6.94773,104.003,1,1
662_bus,662,906,1,9,1126,895,264,1158,6.81473,27.8744,1,1
662_bus,662,906,1,9,1133,875,264,1158,6.95031,27.0012,1,1
662_bus,662,906,1,9,1136,845,264,1158,6.52158,28.7581,1,1
662_bus,662,906,1,9,1119,878,264,1158,6.73546,29.4419,1,1
662_bus,662,906,1,9,1151,881,264,1158,7.00749,27.7212,1,1
662_bus,662,906,1,9,1142,874,264,1158,6.81857,29.634,1,1
662_bus,662,906,1,9,1125,861,264,1158,6.52543,27.4055,1,1
662_bus,662,906,1,9,1126,872,264,1158,6.51578,27.8147,1,1
662_bus,662,906,1,9,1156,860,264,1158,6.40411,26.654,1,1
