graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
can187,187,652,4,9,188,88,74,280,1.62967,5.0319,1,1
can187,187,652,4,9,192,88,74,280,1.60246,0.371294,1,1
can187,187,652,4,9,187,88,74,280,1.56256,0.336957,1,1
can187,187,652,4,9,197,88,74,280,1.59559,0.356157,1,1
can187,187,652,4,9,186,88,74,280,1.6075,0.348965,1,1
can187,187,652,4,9,188,88,74,280,1.62269,0.387167,1,1
can187,187,652,4,9,200,88,74,280,1.64725,0.347471,1,1
can187,187,652,4,9,185,88,74,280,1.55711,0.359767,1,1
can187,187,652,4,9,182,88,74,280,1.64348,0.36159,1,1
can187,187,652,4,9,179,88,74,280,1.63453,0.359696,1,1
