graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
685bus,685,1282,1,12,1028,727,210,1198,6.91124,118.257,1,1
685bus,685,1282,1,12,1036,774,210,1198,7.46505,30.1532,1,1
685bus,685,1282,1,12,1023,798,210,1198,7.16039,31.3034,1,1
685bus,685,1282,1,12,1005,786,210,1198,7.16135,29.6808,1,1
685bus,685,1282,1,12,1008,804,210,1198,7.16004,31.0245,1,1
685bus,685,1282,1,12,1030,791,210,1198,7.16994,28.4163,1,1
685bus,685,1282,1,12,1017,788,210,1198,7.27305,27.729,1,1
685bus,685,1282,1,12,1008,780,210,1198,7.11654,30.6115,1,1
685bus,685,1282,1,12,1027,815,210,1198,7.21202,28.8166,1,1
685bus,685,1282,1,12,1018,756,210,1198,7.28606,30.1808,1,1
