graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
can715,715,2975,1,104,715,317,27,1251,8.96647,85.1951,1,1
can715,715,2975,1,104,716,340,27,1251,9.32282,9.50554,1,1
can715,715,2975,1,104,709,345,27,1251,9.31572,8.92906,1,1
can715,715,2975,1,104,715,350,27,1251,9.46761,7.50942,1,1
can715,715,2975,1,104,742,346,27,1251,9.21309,8.33228,1,1
can715,715,2975,1,104,706,346,27,1251,9.26457,8.34157,1,1
can715,715,2975,1,104,724,349,27,1251,9.21841,8.18725,1,1
can715,715,2975,1,104,718,341,27,1251,9.01728,7.64768,1,1
can715,715,2975,1,104,728,345,27,1251,9.05931,9.37485,1,1
can715,715,2975,1,104,724,341,27,1251,9.55533,9.20294,1,1
