graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
can268,268,1407,3,36,254,106,28,402,2.63143,10.9189,1,1
can268,268,1407,3,36,260,137,28,402,2.61083,0.876652,1,1
can268,268,1407,3,36,251,138,28,402,2.65566,0.891988,1,1
can268,268,1407,3,36,252,148,28,402,2.66056,0.944943,1,1
can268,268,1407,3,36,266,143,28,402,2.65607,0.980837,1,1
can268,268,1407,3,36,260,144,28,402,2.60097,0.914022,1,1
can268,268,1407,3,36,252,151,28,402,2.63501,0.93032,1,1
can268,268,1407,3,36,264,150,28,402,2.66583,0.970847,1,1
can268,268,1407,3,36,257,142,28,402,2.65176,0.894345,1,1
can268,268,1407,3,36,255,136,28,402,2.58701,0.906702,1,1
