graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
can24,24,68,3,8,27,16,10,36,0.188882,0.147643,1,1
can24,24,68,3,8,27,20,10,36,0.200002,0.0124548,1,1
can24,24,68,3,8,29,22,10,36,0.18646,0.0139678,1,1
can24,24,68,3,8,28,18,10,36,0.18114,0.0119662,1,1
can24,24,68,3,8,28,23,10,36,0.183843,0.0119923,1,1
can24,24,68,3,8,26,22,10,36,0.191183,0.0121819,1,1
can24,24,68,3,8,28,24,10,36,0.185656,0.011991,1,1
can24,24,68,3,8,26,23,10,36,0.19064,0.0137695,1,1
can24,24,68,3,8,26,22,10,36,0.190003,0.0141456,1,1
can24,24,68,3,8,26,23,10,36,0.204007,0.0129818,1,1
