Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
tree7_order175,175,174,0.011,100,306,256,0.022
tree6_order150,150,149,0.013,66,262,223,0.017
tree3_order75,75,74,0.027,37,131,116,0.005
tree10_order250,250,249,0.008,142,437,380,0.048
tree1_order25,25,24,0.08,16,43,36,0.001
tree2_order50,50,49,0.04,33,87,74,0.003
tree5_order125,125,124,0.016,62,218,184,0.012
tree4_order100,100,99,0.02,66,175,141,0.011
tree8_order200,200,199,0.01,114,350,299,0.043
tree9_order225,225,224,0.009,128,393,332,0.038
