Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
fs_760_1,760,3518,0.012,126,1140,520,7.304
bcspwr03,118,179,0.026,47,206,142,0.016
nos6,675,1290,0.006,540,1012,784,3.524
can__256,256,1330,0.041,12,384,86,0.105
dwt__918,918,3233,0.008,282,1377,600,3.18
tols340,340,1649,0.029,15,535,204,0.284
bcsstk01,48,176,0.156,16,72,34,0.003
rbs480b,480,16400,0.143,12,720,94,7.236
fs_541_2,541,2466,0.017,4,811,4,1.689
lns__511,511,1425,0.011,157,904,590,0.933
pores_2,1224,5822,0.008,163,1836,891,7.223
gre__115,115,267,0.041,46,172,125,0.049
dwt__310,310,1069,0.022,112,465,214,0.174
lnsp_511,511,1425,0.011,157,904,585,0.743
sherman2,1080,14630,0.025,102,1665,383,17.566
can__187,187,652,0.038,74,280,133,0.054
fs_680_1,680,1464,0.006,194,1190,878,0.888
steam3,80,424,0.134,26,120,32,0.031
dwt___59,59,104,0.061,39,103,67,0.007
qc324,324,13203,0.252,15,486,16,1.865
fidapm03,2532,23924,0.008,220,3798,637,48.94
mahindas,1258,7513,0.01,24,1887,1198,33.708
pde225,225,420,0.017,180,337,269,0.489
impcol_c,137,352,0.038,36,205,110,0.067
gre__343,343,1092,0.019,152,514,326,0.787
steam1,240,1761,0.061,45,360,98,0.358
jagmesh2,1009,2928,0.006,576,1513,828,8.551
impcol_b,59,281,0.164,13,88,46,0.012
rw136,136,373,0.041,68,204,108,0.053
dwt__193,193,1650,0.089,25,289,71,0.106
bp___200,822,3788,0.011,11,1233,803,1.182
nnc261,261,794,0.023,61,456,268,0.251
ash85,85,219,0.061,34,127,75,0.008
bcspwr01,39,46,0.062,26,68,53,0.002
dwt___87,87,227,0.061,26,152,76,0.009
bcspwr05,443,590,0.006,177,775,575,0.212
fs_680_2,680,1464,0.006,194,1190,878,0.879
odep400a,400,402,0.005,320,600,588,1.431
lnsp_131,131,275,0.032,40,239,188,0.028
