Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
G11,800,1600,0.005,640,1200,911,1.47
GD01_c,33,135,0.256,6,57,28,0.002
GD99_b,64,125,0.062,51,96,69,0.004
Tina_DisCal,11,32,0.582,4,16,8,0.0
GD97_a,84,166,0.048,67,126,92,0.011
GD98_c,112,168,0.027,112,168,135,0.02
GD96_b,111,193,0.032,9,166,60,0.015
GD98_b,121,132,0.018,40,211,204,0.009
Tina_DisCog,11,36,0.654,4,16,7,0.0
GD02_b,80,232,0.073,40,120,62,0.006
GD00_c,638,1020,0.005,45,1116,865,0.414
494_bus,494,586,0.005,197,864,683,0.324
GD97_b,46,132,0.128,7,69,34,0.003
USAir97,332,2126,0.039,9,581,359,0.15
Stranke94,10,45,1.0,4,15,4,0.0
Trefethen_300,300,2189,0.049,70,450,158,0.387
685_bus,685,1282,0.006,210,1198,726,0.856
LF10,18,32,0.209,14,27,21,0.0
Tina_AskCal,11,25,0.454,5,16,8,0.0
1138_bus,1138,1458,0.002,252,1991,1530,1.299
EX2,560,4368,0.028,117,840,290,2.093
Trefethen_20b,19,64,0.374,8,28,14,0.001
GD01_b,18,26,0.17,14,27,22,0.0
GD96_c,65,125,0.06,37,97,71,0.005
L,956,1820,0.004,764,1434,1128,3.91
Tina_AskCog,11,27,0.491,4,16,8,0.0
GD98_a,38,46,0.065,8,68,38,0.002
LFAT5,14,16,0.176,11,22,18,0.0
CSphd,1882,1740,0.001,160,3311,2504,4.53
EX1,560,4368,0.028,117,840,293,1.25
GD95_a,36,56,0.089,16,63,43,0.001
G1,800,19176,0.06,47,1200,195,6.763
Ragusa18,23,51,0.202,7,40,20,0.001
GD06_theory,101,190,0.038,20,151,30,0.014
GD97_c,452,460,0.004,23,790,152,0.228
GD96_a,1096,1677,0.003,39,1918,1426,5.154
CAG_mat72,72,678,0.265,5,126,18,0.009
GD96_d,180,228,0.014,25,315,211,0.019
G10,800,19176,0.06,45,1200,181,5.487
GD00_a,352,384,0.006,32,609,457,0.105
M20PI_n,1182,1198,0.002,363,2068,1749,5.415
Chebyshev1,261,1542,0.045,4,391,4,0.057
CAG_mat364,364,10474,0.158,6,637,38,0.794
GD02_a,23,59,0.233,4,40,8,0.001
S10PI_n,682,689,0.003,303,1193,978,1.663
Trefethen_150,150,945,0.085,40,225,81,0.055
GD95_c,62,144,0.076,15,93,48,0.005
DK01R,903,5641,0.014,190,1353,458,3.279
Harvard500,500,2043,0.016,9,875,279,0.27
GD99_c,105,120,0.022,70,183,151,0.012
Ragusa16,24,58,0.21,6,42,26,0.001
Trefethen_200,200,1345,0.068,50,300,106,0.216
08blocks,300,576,0.013,31,448,32,0.07
Hamrle1,32,90,0.182,14,48,28,0.002
Sandi_authors,86,124,0.034,26,150,101,0.006
Trefethen_200b,199,1337,0.068,49,298,105,0.12
