graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_3_11,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwa62,62,200,2,20,51,11,93,0.105764,0.0942036
bfwa62,62,200,2,20,55,11,93,0.105764,0.0760188
bfwa62,62,200,2,20,50,11,93,0.105764,0.0769132
bfwa62,62,200,2,20,50,11,93,0.105764,0.0781422
bfwa62,62,200,2,20,51,11,93,0.105764,0.078587
bfwa62,62,200,2,20,53,11,93,0.105764,0.0757635
bfwa62,62,200,2,20,51,11,93,0.105764,0.0721829
bfwa62,62,200,2,20,52,11,93,0.105764,0.0661924
bfwa62,62,200,2,20,54,11,93,0.105764,0.0700739
bfwa62,62,200,2,20,50,11,93,0.105764,0.0701581
