graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_3_11,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwb62,62,140,1,12,68,19,108,0.0740349,0.0478527
bfwb62,62,140,1,12,66,19,108,0.0740349,0.0466383
bfwb62,62,140,1,12,69,19,108,0.0740349,0.0447412
bfwb62,62,140,1,12,66,19,108,0.0740349,0.0469357
bfwb62,62,140,1,12,66,19,108,0.0740349,0.0483454
bfwb62,62,140,1,12,73,19,108,0.0740349,0.0442897
bfwb62,62,140,1,12,66,19,108,0.0740349,0.0457479
bfwb62,62,140,1,12,64,19,108,0.0740349,0.0434143
bfwb62,62,140,1,12,72,19,108,0.0740349,0.0503237
bfwb62,62,140,1,12,76,19,108,0.0740349,0.0505475
