graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_3_11,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwb398,398,1256,1,12,384,122,695,0.0158981,1.64034
bfwb398,398,1256,1,12,351,122,695,0.0158981,1.83756
bfwb398,398,1256,1,12,378,122,695,0.0158981,2.22724
bfwb398,398,1256,1,12,382,122,695,0.0158981,1.69998
bfwb398,398,1256,1,12,369,122,695,0.0158981,1.74538
bfwb398,398,1256,1,12,366,122,695,0.0158981,1.59502
bfwb398,398,1256,1,12,375,122,695,0.0158981,1.7183
bfwb398,398,1256,1,12,354,122,695,0.0158981,1.75592
bfwb398,398,1256,1,12,368,122,695,0.0158981,2.05509
bfwb398,398,1256,1,12,365,122,695,0.0158981,1.76271
