graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_3_11,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwb782,782,2600,1,12,686,240,1367,0.00851423,5.83983
bfwb782,782,2600,1,12,680,240,1367,0.00851423,7.40849
bfwb782,782,2600,1,12,694,240,1367,0.00851423,6.35826
bfwb782,782,2600,1,12,683,240,1367,0.00851423,6.19
bfwb782,782,2600,1,12,690,240,1367,0.00851423,6.46958
bfwb782,782,2600,1,12,686,240,1367,0.00851423,6.59501
bfwb782,782,2600,1,12,680,240,1367,0.00851423,6.27828
bfwb782,782,2600,1,12,690,240,1367,0.00851423,6.56694
bfwb782,782,2600,1,12,694,240,1367,0.00851423,6.81673
bfwb782,782,2600,1,12,691,240,1367,0.00851423,6.48299
