graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,fitness_3_11,lower_bound,upper_bound,graph_density,elapsed_time(seconds)
bfwa398,398,1658,2,22,318,69,597,0.0209865,1.68909
bfwa398,398,1658,2,22,316,69,597,0.0209865,1.75028
bfwa398,398,1658,2,22,315,69,597,0.0209865,1.63631
bfwa398,398,1658,2,22,314,69,597,0.0209865,1.52192
bfwa398,398,1658,2,22,317,69,597,0.0209865,1.73354
bfwa398,398,1658,2,22,318,69,597,0.0209865,1.68983
bfwa398,398,1658,2,22,323,69,597,0.0209865,1.83024
bfwa398,398,1658,2,22,316,69,597,0.0209865,1.71035
bfwa398,398,1658,2,22,302,69,597,0.0209865,1.7665
bfwa398,398,1658,2,22,321,69,597,0.0209865,2.32335
