Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
cycle3-order75,75,75,0.027,-1,112,108,0.032
cycle9-order225,225,225,0.009,-1,337,332,0.184
cycle7-order175,175,175,0.012,-1,262,257,0.258
cycle4-order100,100,100,0.02,-1,150,146,0.044
cycle5-order125,125,125,0.016,-1,187,182,0.046
cycle6-order150,150,150,0.013,-1,225,221,0.198
cycle10-order250,250,250,0.008,-1,375,359,0.258
cycle1-order25,25,25,0.083,-1,37,36,0.002
cycle8-order200,200,200,0.01,-1,300,296,0.425
cycle2-order50,50,50,0.041,-1,75,72,0.009
