Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
star8-order200,200,199,0.01,4,350,4,0.1014
star10-order250,250,249,0.008,4,437,4,0.1508
star2-order50,50,49,0.04,4,87,4,0.0091
star4-order100,100,99,0.02,4,175,4,0.0298
star5-order125,125,124,0.016,4,218,4,0.0432
star3-order75,75,74,0.0267,4,131,4,0.0184
star9-order225,225,224,0.0089,4,393,4,0.1254
star6-order150,150,149,0.0133,4,262,4,0.0623
star7-order175,175,174,0.0114,4,306,4,0.0803
star1-order25,25,24,0.08,4,43,4,0.0033
