Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
fs_760_1,760,3518,0.0122,126,1140,497,1.0016
bcspwr03,118,179,0.0259,47,206,140,0.0206
nos6,675,1290,0.0057,540,1012,744,0.5128
can__256,256,1330,0.0407,12,384,88,0.1445
dwt__918,918,3233,0.0077,282,1377,496,1.0587
tols340,340,1649,0.0286,15,535,216,0.3325
bcsstk01,48,176,0.156,16,72,24,0.0047
rbs480b,480,16400,0.1427,12,720,32,1.2736
fs_541_2,541,2466,0.0169,4,811,4,0.3189
lns__511,511,1425,0.0109,157,904,565,0.4573
pores_2,1224,5822,0.0078,163,1836,548,3.4098
gre__115,115,267,0.0407,46,172,111,0.0221
dwt__310,310,1069,0.0223,112,465,183,0.1067
lnsp_511,511,1425,0.0109,157,904,570,0.4121
sherman2,1080,14630,0.0251,102,1665,333,2.9622
can__187,187,652,0.0375,74,280,92,0.0441
fs_680_1,680,1464,0.0063,194,1190,909,0.9439
steam3,80,424,0.1342,26,120,28,0.0141
dwt___59,59,104,0.0608,39,103,61,0.006
qc324,324,13203,0.2523,15,486,16,0.6161
fidapm03,2532,23924,0.0075,220,3798,690,12.1114
mahindas,1258,7513,0.0095,24,1887,1080,3.3008
pde225,225,420,0.0167,180,337,251,0.0716
impcol_c,137,352,0.0378,36,205,104,0.0427
gre__343,343,1092,0.0186,152,514,287,0.1937
steam1,240,1761,0.0614,45,360,88,0.1139
jagmesh2,1009,2928,0.0058,576,1513,801,1.4154
impcol_b,59,281,0.1642,13,88,38,0.0078
rw136,136,373,0.0406,68,204,108,0.0386
dwt__193,193,1650,0.0891,25,289,59,0.0711
bp___200,822,3788,0.0112,11,1233,642,1.5742
nnc261,261,794,0.0234,61,456,246,0.0819
ash85,85,219,0.0613,34,127,70,0.0145
bcspwr01,39,46,0.0621,26,68,51,0.0028
dwt___87,87,227,0.0607,26,152,64,0.0166
bcspwr05,443,590,0.006,177,775,560,0.3772
fs_680_2,680,1464,0.0063,194,1190,915,0.9629
odep400a,400,402,0.005,320,600,541,0.1905
lnsp_131,131,275,0.0323,40,239,179,0.0296
bcspwr02,49,59,0.0502,28,85,65,0.0054
lns__131,131,275,0.0323,40,239,175,0.0412
pores_1,30,103,0.2368,12,45,20,0.0022
fs_541_3,541,2466,0.0169,4,811,4,0.3346
rdb200l,200,460,0.0231,133,300,195,0.0599
tub100,100,148,0.0299,100,150,103,0.0171
str____0,363,2446,0.0372,34,635,319,0.347
gre_216b,216,660,0.0284,96,324,178,0.0707
sherman1,1000,1375,0.0028,571,2144,1694,1.2686
nos5,468,2352,0.0215,81,702,277,0.3312
fs_183_3,183,701,0.0421,6,320,174,0.0658
can___24,24,68,0.2464,10,36,16,0.0014
fidap002,441,13195,0.136,14,661,44,0.4749
bp_____0,822,3260,0.0097,12,1233,748,1.3734
fidap001,216,2079,0.0895,16,324,67,0.0904
mcca,180,1680,0.1043,11,270,155,0.0712
dwt__492,492,1332,0.011,178,737,372,0.3671
dwt__162,162,510,0.0391,72,283,116,0.036
fs_183_1,183,701,0.0421,6,320,174,0.0658
add20,2395,7462,0.0026,77,4191,3233,9.1489
dwt__234,234,300,0.011,93,399,248,0.0918
fidapm10,3046,25398,0.0055,329,4569,982,16.0618
fidap005,27,126,0.359,7,40,12,0.0018
will199,199,660,0.0335,56,298,146,0.1315
lop163,163,598,0.0453,72,244,123,0.0373
will57,57,127,0.0796,20,99,38,0.0092
cdde4,961,1860,0.004,768,1441,1052,1.147
dwt__221,221,704,0.029,73,331,133,0.0754
can__161,161,608,0.0472,37,241,80,0.0351
fs_760_2,760,3518,0.0122,126,1140,493,1.1898
