graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./representative_set/can__256.txt,256,1330,3,82,194,232,13,384,167.35,13.5755
./representative_set/can__256.txt,256,1330,3,82,211,191,13,384,128.14,3.62362
./representative_set/can__256.txt,256,1330,3,82,208,182,13,384,118.341,3.59323
./representative_set/can__256.txt,256,1330,3,82,204,187,13,384,119.794,3.59112
./representative_set/can__256.txt,256,1330,3,82,202,194,13,384,121.21,3.63181
./representative_set/can__256.txt,256,1330,3,82,216,186,13,384,132.4,3.67235
./representative_set/can__256.txt,256,1330,3,82,201,210,13,384,147.614,3.71121
./representative_set/can__256.txt,256,1330,3,82,198,188,13,384,135.629,2.88656
./representative_set/can__256.txt,256,1330,3,82,175,190,13,384,133.643,3.38662
./representative_set/can__256.txt,256,1330,3,82,192,142,13,384,117.6,3.08552
