graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic1,ACO_fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./representative_set/will57.txt,57,127,1,10,64,65,21,85,9.08523,1.48473
./representative_set/will57.txt,57,127,1,10,71,61,21,85,8.79133,0.41669
./representative_set/will57.txt,57,127,1,10,77,57,21,85,8.84205,0.421089
./representative_set/will57.txt,57,127,1,10,82,57,21,85,8.80724,0.424457
./representative_set/will57.txt,57,127,1,10,74,51,21,85,8.6297,0.418038
./representative_set/will57.txt,57,127,1,10,61,58,21,85,8.89948,0.422388
./representative_set/will57.txt,57,127,1,10,58,54,21,85,9.06388,0.433353
./representative_set/will57.txt,57,127,1,10,74,58,21,85,8.70884,0.44015
./representative_set/will57.txt,57,127,1,10,76,66,21,85,9.10894,0.452124
./representative_set/will57.txt,57,127,1,10,69,72,21,85,8.74376,0.458726
