Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
path8-order200,200,199,0.01,-1,350,295,0.129
path10-order250,250,249,0.008,-1,437,367,0.093
path6-order150,150,149,0.013,-1,262,222,0.053
path5-order125,125,124,0.016,-1,218,186,0.017
path4-order100,100,99,0.02,-1,175,147,0.009
path9-order225,225,224,0.009,-1,393,332,0.094
path7-order175,175,174,0.011,-1,306,259,0.092
path3-order75,75,74,0.027,-1,131,110,0.012
path1-order25,25,24,0.08,-1,43,37,0.001
path2-order50,50,49,0.04,-1,87,74,0.004
