graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic3,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
random_graph1,25,68,1,10,24,20,9,43,0.00119842,0.00895389,1,1
random_graph1,25,68,1,10,24,25,9,43,0.00117656,0.00174822,1,1
random_graph1,25,68,1,10,24,25,9,43,0.00112967,0.00180965,1,1
random_graph1,25,68,1,10,24,26,9,43,0.00113094,0.00175471,1,1
random_graph1,25,68,1,10,24,25,9,43,0.00113783,0.00180061,1,1
random_graph1,25,68,1,10,24,25,9,43,0.00113498,0.00178488,1,1
random_graph1,25,68,1,10,24,22,9,43,0.00113514,0.00177951,1,1
random_graph1,25,68,1,10,24,26,9,43,0.00114011,0.00178047,1,1
random_graph1,25,68,1,10,24,25,9,43,0.00112803,0.0017695,1,1
random_graph1,25,68,1,10,24,26,9,43,0.00111789,0.0017934,1,1
