graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic4,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
random_graph7,75,548,8,24,39,34,12,112,0.0349773,0.0823796,1,1
random_graph7,75,548,8,24,39,40,12,112,0.0323625,0.0178019,1,1
random_graph7,75,548,8,24,39,44,12,112,0.0362478,0.0194137,1,1
random_graph7,75,548,8,24,39,39,12,112,0.0346853,0.0197488,1,1
random_graph7,75,548,8,24,39,44,12,112,0.0319866,0.0208376,1,1
random_graph7,75,548,8,24,39,44,12,112,0.0316971,0.0213724,1,1
random_graph7,75,548,8,24,39,38,12,112,0.0319382,0.0195208,1,1
random_graph7,75,548,8,24,38,42,12,112,0.0430286,0.0222672,1,1
random_graph7,75,548,8,24,39,40,12,112,0.03327,0.0177388,1,1
random_graph7,75,548,8,24,39,40,12,112,0.0340613,0.0211699,1,1
