graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic4,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
random_graph16,150,2228,19,44,50,40,13,225,0.249852,0.371732,1,1
random_graph16,150,2228,19,44,49,48,13,225,0.295546,0.108817,1,1
random_graph16,150,2228,19,44,47,50,13,225,0.380948,0.111912,1,1
random_graph16,150,2228,19,44,51,49,13,225,0.43089,0.106937,1,1
random_graph16,150,2228,19,44,48,50,13,225,0.246059,0.101947,1,1
random_graph16,150,2228,19,44,50,51,13,225,0.261745,0.0936945,1,1
random_graph16,150,2228,19,44,51,54,13,225,0.234048,0.0949004,1,1
random_graph16,150,2228,19,44,52,51,13,225,0.257671,0.0943855,1,1
random_graph16,150,2228,19,44,51,53,13,225,0.305415,0.0908666,1,1
random_graph16,150,2228,19,44,49,49,13,225,0.398743,0.101359,1,1
