graph_name,graph_order,graph_size,graph_min_degree,graph_max_degree,GA_fitness_heuristic4,ACO_fitness_5_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds),is_3RDF_GA,is_3RDF_ACO
random_graph22,200,4078,27,56,50,44,14,300,0.577273,0.695645,1,1
random_graph22,200,4078,27,56,50,49,14,300,0.538224,0.156884,1,1
random_graph22,200,4078,27,56,50,56,14,300,0.517988,0.154558,1,1
random_graph22,200,4078,27,56,50,58,14,300,0.514174,0.146025,1,1
random_graph22,200,4078,27,56,50,51,14,300,0.520114,0.14255,1,1
random_graph22,200,4078,27,56,50,50,14,300,0.513072,0.143012,1,1
random_graph22,200,4078,27,56,50,52,14,300,0.528289,0.151053,1,1
random_graph22,200,4078,27,56,50,54,14,300,0.514745,0.140336,1,1
random_graph22,200,4078,27,56,50,49,14,300,0.517642,0.147045,1,1
random_graph22,200,4078,27,56,50,51,14,300,0.516546,0.151896,1,1
