Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
pde2961,2961,5812,0.001,2368,4441,3522,59.84
tols340,340,1649,0.029,15,535,204,0.148
dwa512,512,1004,0.008,256,768,594,0.825
qc324,324,13203,0.252,15,486,16,0.386
dw256A,512,1004,0.008,256,768,606,0.985
pde225,225,420,0.017,180,337,260,0.102
rdb800l,800,1920,0.006,533,1200,876,2.222
rw136,136,373,0.041,68,204,105,0.025
bfwb62,62,140,0.074,19,108,66,0.005
cryg2500,2500,4950,0.002,1666,3750,2936,51.38
bfwa782,782,3394,0.011,130,1173,604,2.814
mhd1280a,1280,26130,0.032,77,1941,544,20.234
rdb968,968,2332,0.005,645,1452,1040,3.644
olm1000,1000,1997,0.004,666,1500,932,1.047
tub100,100,148,0.03,100,150,125,0.024
rdb1250,1250,3025,0.004,833,1875,1300,8.026
odepa400,400,402,0.005,320,600,592,0.25
lop163,163,598,0.045,72,244,125,0.064
dwg961a,705,1350,0.005,564,1057,741,1.793
rdb3200l,3200,7840,0.002,2133,4800,3456,81.635
ck400,400,1244,0.016,160,700,338,0.466
ck104,104,444,0.083,41,156,48,0.021
ck656,656,1628,0.008,262,1148,662,2.163
cdde3,961,1860,0.004,768,1441,1141,2.626
bwm200,200,298,0.015,200,300,262,0.074
rdb200,200,460,0.023,133,300,205,0.072
tub1000,1000,1498,0.003,1000,1500,1266,4.532
olm2000,2000,3997,0.002,1333,3000,1848,4.058
mhda416,416,5177,0.06,43,634,210,0.725
olm500,500,997,0.008,333,750,452,0.296
bfwa62,62,200,0.106,11,93,50,0.004
tols1090,1090,2249,0.004,48,1735,804,1.007
dw1024,2048,4094,0.002,910,3072,2445,32.885
cdde2,961,1860,0.004,768,1441,1140,3.083
rbsa480,480,16408,0.143,12,720,85,4.722
dw2048,2048,4094,0.002,910,3072,2408,30.863
pde900,900,1740,0.004,720,1350,1077,2.337
cdde1,961,1860,0.004,768,1441,1142,2.661
bfwa398,398,1658,0.021,69,597,305,0.347
bfwb782,782,2600,0.008,240,1367,733,2.73
bfwb398,398,1256,0.016,122,695,374,0.632
qh768,768,1322,0.004,219,1344,986,2.876
rw496,496,1423,0.012,248,744,404,1.161
qh882,882,1533,0.004,207,1543,1135,4.025
dw256B,512,1024,0.008,227,768,595,0.7
tols90,90,1449,0.362,4,135,4,0.015
rdb450,450,1065,0.01,300,675,480,0.774
olm100,100,197,0.04,66,150,86,0.012
mhdb416,416,948,0.011,166,632,379,0.178
qc2534,2534,230413,0.072,55,3801,56,119.583
