graph_name,graph_order,graph_size,graph_max_degree,GA_Fitness_Heuristic1,ACO_Fitness_20_10,lower_bound,upper_bound,elapsed_time_GA(seconds),elapsed_time_ACO(seconds)
./rerun/saylr1.txt,238,445,4,381,344,191,357,49.8735,16.2251
./rerun/saylr1.txt,238,445,4,351,336,191,357,40.0039,3.00511
./rerun/saylr1.txt,238,445,4,351,313,191,357,38.5206,3.01042
./rerun/saylr1.txt,238,445,4,363,316,191,357,30.8851,2.61614
./rerun/saylr1.txt,238,445,4,375,317,191,357,32.626,2.62328
./rerun/saylr1.txt,238,445,4,347,319,191,357,34.0153,2.51441
./rerun/saylr1.txt,238,445,4,323,319,191,357,33.3472,2.61321
./rerun/saylr1.txt,238,445,4,339,305,191,357,14.1547,2.64572
./rerun/saylr1.txt,238,445,4,359,325,191,357,32.2833,3.00509
./rerun/saylr1.txt,238,445,4,387,321,191,357,30.0141,2.44692
