Graph Name,$V(G)$,$E(G)$,Graph Density,LB,UB,Melhor Fitness,Tempo do Melhor Fitness
pde2961,2961,5812,0.0013,2368,4441,3218,14.1071
tols340,340,1649,0.0286,15,535,210,0.2275
dwa512,512,1004,0.0077,256,768,555,0.318
qc324,324,13203,0.2523,15,486,16,0.4755
dw256A,512,1004,0.0077,256,768,546,0.314
pde225,225,420,0.0167,180,337,251,0.0621
rdb800l,800,1920,0.006,533,1200,757,0.7208
rw136,136,373,0.0406,68,204,110,0.0317
bfwb62,62,140,0.074,19,108,70,0.0082
cryg2500,2500,4950,0.0016,1666,3750,2719,9.1668
bfwa782,782,3394,0.0111,130,1173,586,0.6905
mhd1280a,1280,26130,0.0319,77,1941,728,3.1734
rdb968,968,2332,0.005,645,1452,927,0.9188
olm1000,1000,1997,0.004,666,1500,696,1.3787
tub100,100,148,0.0299,100,150,103,0.0139
rdb1250,1250,3025,0.0039,833,1875,1232,1.4764
odepa400,400,402,0.005,320,600,540,0.1712
lop163,163,598,0.0453,72,244,121,0.036
dwg961a,705,1350,0.0054,564,1057,724,0.5219
rdb3200l,3200,7840,0.0015,2133,4800,3136,9.9816
ck400,400,1244,0.0156,160,700,327,0.2363
ck104,104,444,0.0829,41,156,52,0.0191
ck656,656,1628,0.0076,262,1148,638,0.5131
cdde3,961,1860,0.004,768,1441,1045,1.4733
bwm200,200,298,0.015,200,300,255,0.0465
rdb200,200,460,0.0231,133,300,193,0.0474
tub1000,1000,1498,0.003,1000,1500,1030,0.8742
olm2000,2000,3997,0.002,1333,3000,1400,5.3952
mhda416,416,5177,0.06,43,634,193,0.2779
olm500,500,997,0.008,333,750,346,0.354
bfwa62,62,200,0.1058,11,93,51,0.0078
tols1090,1090,2249,0.0038,48,1735,888,1.9822
dw1024,2048,4094,0.002,910,3072,2185,6.9493
cdde2,961,1860,0.004,768,1441,1056,1.3103
rbsa480,480,16408,0.1427,12,720,47,0.8611
dw2048,2048,4094,0.002,910,3072,2179,7.1818
pde900,900,1740,0.0043,720,1350,985,1.0591
cdde1,961,1860,0.004,768,1441,1043,1.3153
bfwa398,398,1658,0.021,69,597,296,0.2292
bfwb782,782,2600,0.0085,240,1367,666,0.6895
bfwb398,398,1256,0.0159,122,695,353,0.195
qh768,768,1322,0.0045,219,1344,843,0.6803
rw496,496,1423,0.0116,248,744,403,0.3029
qh882,882,1533,0.0039,207,1543,963,0.9689
dw256B,512,1024,0.0078,227,768,526,0.3127
tols90,90,1449,0.3618,4,135,4,0.0386
rdb450,450,1065,0.0105,300,675,430,0.2035
olm100,100,197,0.0398,66,150,72,0.0206
mhdb416,416,948,0.011,166,632,364,0.2462
qc2534,2534,230413,0.0718,55,3801,56,41.2489
